date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-02,000001,1674.21,1701.72,1701.72,1662.96,518365,663197632.0,2.29,0.59,10.0,0.27
2020-04-03,000001,1682.97,1656.71,1691.72,1649.21,825348,1047282400.0,2.5,-2.64,-45.01,0.43
2020-04-07,000001,1691.72,1690.47,1697.97,1681.72,870314,1121200112.0,0.98,2.04,33.76,0.45
2020-04-08,000001,1690.47,1677.96,1695.47,1670.46,528716,676604880.0,1.48,-0.74,-12.51,0.27
2020-04-09,000001,1690.47,1672.96,1691.72,1670.46,408554,522027888.0,1.27,-0.3,-5.0,0.21
2020-04-10,000001,1675.46,1679.21,1702.97,1661.71,666675,853689952.0,2.47,0.37,6.25,0.34
2020-04-13,000001,1664.21,1654.21,1669.21,1639.21,446214,562008048.0,1.79,-1.49,-25.0,0.23
2020-04-14,000001,1661.71,1687.97,1687.97,1651.71,686087,874856560.0,2.19,2.04,33.76,0.35
2020-04-15,000001,1687.97,1689.22,1696.72,1677.96,656396,843649280.0,1.11,0.07,1.25,0.34
2020-04-16,000001,1679.21,1665.46,1679.21,1647.96,789155,997623824.0,1.85,-1.41,-23.76,0.41
2020-04-17,000001,1676.71,1691.72,1710.47,1661.71,1331165,1713215760.0,2.93,1.58,26.26,0.69
2020-04-20,000001,1687.97,1704.22,1711.72,1676.71,818456,1058524016.0,2.07,0.74,12.5,0.42
2020-04-21,000001,1742.98,1761.73,1792.98,1742.98,2122448,2861879088.0,2.93,3.37,57.51,1.09
2020-04-22,000001,1751.73,1734.22,1757.98,1725.47,1032803,1368222848.0,1.85,-1.56,-27.51,0.53
2020-04-23,000001,1734.22,1734.22,1744.23,1719.22,646990,855052112.0,1.44,0.0,0.0,0.33
2020-04-24,000001,1726.72,1735.47,1740.47,1719.22,566002,747473776.0,1.23,0.07,1.25,0.29
2020-04-27,000001,1742.98,1767.98,1785.48,1736.72,936830,1263809744.0,2.81,1.87,32.51,0.48
2020-04-28,000001,1761.73,1770.48,1775.48,1739.22,771564,1038718080.0,2.05,0.14,2.5,0.4
2020-04-29,000001,1765.48,1832.99,1842.99,1761.73,1108722,1541638208.0,4.59,3.53,62.51,0.57
2020-04-30,000001,1832.99,1821.74,1870.5,1815.49,819540,1155968240.0,3.0,-0.61,-11.25,0.42
2020-05-06,000001,1800.49,1801.74,1816.74,1781.73,1008998,1382727488.0,1.92,-1.1,-20.0,0.52
2020-05-07,000001,1800.49,1791.73,1800.49,1780.48,662749,904349536.0,1.11,-0.56,-10.01,0.34
2020-05-08,000001,1800.49,1824.24,1832.99,1790.48,934782,1297924592.0,2.37,1.81,32.51,0.48
2020-05-11,000001,1820.49,1830.49,1846.74,1817.99,612862,859156592.0,1.58,0.34,6.25,0.32
