date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,000858,2182.98,2184.24,2206.44,2145.3,306674,4038536848.0,2.78,-0.66,-14.54,0.81
2020-01-03,000858,2176.73,2160.31,2184.08,2145.61,204692,2672531472.0,1.76,-1.1,-23.93,0.54
2020-01-06,000858,2151.71,2139.2,2155.62,2128.56,259370,3353682080.0,1.25,-0.98,-21.11,0.68
2020-01-07,000858,2143.89,2141.86,2168.44,2136.07,223278,2901574240.0,1.51,0.12,2.66,0.59
2020-01-08,000858,2135.91,2134.35,2147.95,2121.21,161802,2083242864.0,1.25,-0.35,-7.51,0.43
2020-01-09,000858,2136.07,2163.75,2170.47,2124.34,255491,3317934208.0,2.16,1.38,29.4,0.67
2020-01-10,000858,2159.53,2208.32,2215.04,2159.53,429695,5712380928.0,2.57,2.06,44.57,1.13
2020-01-13,000858,2218.33,2302.77,2308.09,2218.17,496042,6847185920.0,4.07,4.28,94.45,1.31
2020-01-14,000858,2309.66,2285.57,2318.73,2279.94,199073,2767444880.0,1.68,-0.75,-17.2,0.52
2020-01-15,000858,2285.57,2320.6,2352.03,2285.42,234789,3309331104.0,2.91,1.53,35.03,0.62
2020-01-16,000858,2320.6,2318.41,2339.37,2297.14,145360,2046672624.0,1.82,-0.09,-2.19,0.38
2020-01-17,000858,2327.8,2285.42,2336.24,2281.51,148478,2068064064.0,2.36,-1.42,-32.99,0.39
2020-01-20,000858,2316.69,2269.93,2318.41,2258.05,167538,2308928096.0,2.64,-0.68,-15.49,0.44
2020-01-21,000858,2253.36,2192.68,2253.36,2183.14,293073,3903226848.0,3.09,-3.4,-77.25,0.77
2020-01-22,000858,2167.19,2178.29,2193.46,2147.95,257531,3375415200.0,2.08,-0.66,-14.39,0.68
2020-01-23,000858,2179.39,2091.66,2179.39,2073.52,415937,5294268672.0,4.86,-3.98,-86.63,1.1
2020-02-03,000858,1894.3,1894.3,1894.3,1894.3,167639,1903373200.0,0.0,-9.44,-197.36,0.44
2020-02-04,000858,1823.3,1909.31,1995.32,1823.3,710214,8017646080.0,9.08,0.79,15.01,1.87
2020-02-05,000858,1931.21,1956.39,1992.2,1903.06,388783,4546389248.0,4.67,2.47,47.08,1.02
2020-02-06,000858,1979.69,1982.03,1994.39,1942.15,306551,3619248784.0,2.67,1.31,25.64,0.81
2020-02-07,000858,1983.6,2004.4,2009.87,1957.95,280117,3346691776.0,2.62,1.13,22.37,0.74
2020-02-10,000858,1987.51,2013.0,2031.76,1973.12,221877,2682789600.0,2.93,0.43,8.6,0.58
