date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-09,600036,142.31,142.35,142.55,141.61,286646,924260480.0,0.66,0.22,0.31,0.14
2020-04-10,600036,142.78,141.57,143.37,140.83,437432,1409435232.0,1.78,-0.55,-0.78,0.21
2020-04-13,600036,140.87,140.91,141.96,140.48,230555,737876560.0,1.05,-0.47,-0.66,0.11
2020-04-14,600036,141.88,143.96,143.96,141.49,427079,1386006864.0,1.75,2.16,3.05,0.21
2020-04-15,600036,143.49,142.82,143.64,142.43,237838,771129184.0,0.84,-0.79,-1.14,0.12
2020-04-16,600036,141.96,141.57,142.78,141.02,295000,947452272.0,1.23,-0.88,-1.25,0.14
2020-04-17,600036,142.94,144.54,145.87,142.51,697952,2293965392.0,2.37,2.1,2.97,0.34
2020-04-20,600036,144.66,144.7,145.4,143.33,336024,1104349248.0,1.43,0.11,0.16,0.16
2020-04-21,600036,144.7,143.72,145.25,143.45,328715,1077331040.0,1.24,-0.68,-0.98,0.16
2020-04-22,600036,142.94,144.03,144.11,142.47,279435,910099520.0,1.14,0.22,0.31,0.14
2020-04-23,600036,144.39,143.88,144.93,143.72,246146,807219184.0,0.84,-0.1,-0.15,0.12
2020-04-24,600036,143.99,143.17,143.99,142.78,222598,723766560.0,0.84,-0.49,-0.71,0.11
2020-04-27,600036,144.11,147.36,148.92,143.99,653415,2197523216.0,3.44,2.93,4.19,0.32
2020-04-28,600036,147.44,148.45,148.61,146.26,366511,1234430064.0,1.59,0.74,1.09,0.18
2020-04-29,600036,148.61,152.99,153.3,148.57,658766,2288732960.0,3.19,3.06,4.54,0.32
2020-04-30,600036,153.5,153.26,157.02,153.11,715332,2544804896.0,2.56,0.18,0.27,0.35
2020-05-06,600036,151.07,151.46,152.05,149.7,501736,1731704272.0,1.53,-1.17,-1.8,0.24
2020-05-07,600036,151.35,150.76,151.42,149.2,299485,1028793472.0,1.47,-0.46,-0.7,0.15
2020-05-08,600036,152.01,152.79,153.61,151.15,392155,1371649840.0,1.63,1.35,2.03,0.19
2020-05-11,600036,152.83,152.75,154.79,152.44,295848,1040649472.0,1.54,-0.03,-0.04,0.14
2020-05-12,600036,152.87,151.31,153.07,150.72,349634,1213003376.0,1.54,-0.94,-1.44,0.17
2020-05-13,600036,150.56,151.11,151.66,149.39,279835,961672944.0,1.5,-0.13,-0.2,0.14
2020-05-14,600036,150.52,148.73,150.64,148.22,420630,1430362912.0,1.6,-1.58,-2.38,0.2
2020-05-15,600036,149.74,148.41,150.02,147.83,361928,1226127440.0,1.47,-0.22,-0.32,0.18
2020-05-18,600036,147.51,148.22,150.17,147.08,363701,1233862752.0,2.08,-0.13,-0.19,0.18
2020-05-19,600036,150.56,150.06,150.88,149.23,264304,904985392.0,1.11,1.24,1.84,0.13
2020-05-20,600036,150.06,151.66,153.03,149.39,380518,1313430544.0,2.43,1.07,1.6,0.18
2020-05-21,600036,152.56,151.85,153.61,151.58,362527,1263004928.0,1.34,0.13,0.19,0.18
2020-05-22,600036,150.92,147.55,151.7,147.47,423964,1439086672.0,2.79,-2.83,-4.3,0.21
2020-05-25,600036,148.69,145.44,148.76,144.7,432649,1434823008.0,2.75,-1.43,-2.11,0.21
2020-05-26,600036,146.26,146.77,147.01,145.44,322461,1072932144.0,1.08,0.91,1.33,0.16
2020-05-27,600036,147.32,146.77,148.92,146.03,320833,1077247856.0,1.97,0.0,0.0,0.16
2020-05-28,600036,147.36,149.86,151.74,146.77,693623,2378620608.0,3.39,2.11,3.09,0.34
2020-05-29,600036,148.45,148.3,149.51,147.83,372375,1260905552.0,1.12,-1.04,-1.56,0.18
2020-06-01,600036,149.59,152.21,152.79,149.39,488237,1693982688.0,2.29,2.64,3.91,0.24
2020-06-02,600036,151.15,153.07,153.93,151.11,492957,1726597712.0,1.85,0.57,0.86,0.24
2020-06-03,600036,154.67,153.77,156.82,152.99,610187,2169754928.0,2.5,0.46,0.7,0.3
2020-06-04,600036,154.86,153.5,155.06,153.18,257561,909222192.0,1.22,-0.18,-0.27,0.12
2020-06-05,600036,154.08,153.85,154.75,152.17,327173,1146499648.0,1.68,0.23,0.35,0.16
2020-06-08,600036,155.06,155.53,157.56,154.86,501810,1796585376.0,1.75,1.09,1.68,0.24
2020-06-09,600036,155.3,154.98,155.61,153.93,300931,1067277936.0,1.08,-0.35,-0.55,0.15
2020-06-10,600036,155.41,154.24,155.45,153.61,272731,964770416.0,1.19,-0.48,-0.74,0.13
2020-06-11,600036,153.73,150.84,154.16,150.21,588927,2040709552.0,2.56,-2.2,-3.4,0.29
2020-06-12,600036,148.96,150.95,150.95,147.83,546616,1865053472.0,2.07,0.07,0.11,0.26
2020-06-15,600036,149.16,147.32,149.7,146.89,654343,2209023840.0,1.86,-2.4,-3.63,0.32
2020-06-16,600036,149.0,149.55,149.7,148.26,381631,1298977216.0,0.98,1.51,2.23,0.18
2020-06-17,600036,149.0,149.78,150.21,148.33,306278,1042779920.0,1.26,0.15,0.23,0.15
2020-06-18,600036,148.53,148.57,149.23,145.17,922939,3090987280.0,2.71,-0.81,-1.21,0.45
2020-06-19,600036,148.22,148.45,150.33,147.44,679496,2299545216.0,1.95,-0.08,-0.12,0.33
2020-06-22,600036,147.67,147.04,148.41,146.38,595815,1997593328.0,1.37,-0.95,-1.41,0.29
2020-06-23,600036,146.26,146.46,147.2,145.52,452529,1509296736.0,1.14,-0.39,-0.58,0.22
2020-06-24,600036,147.12,148.61,148.84,147.08,479891,1621575072.0,1.2,1.47,2.15,0.23
2020-06-29,600036,149.66,147.59,150.17,147.01,567297,1915098032.0,2.13,-0.69,-1.02,0.28
2020-06-30,600036,148.41,147.9,148.84,147.59,391568,1322157808.0,0.85,0.21,0.31,0.19
2020-07-01,600036,148.18,152.09,152.13,147.47,799096,2741317360.0,3.15,2.83,4.19,0.39
2020-07-02,600036,151.54,154.08,154.75,150.17,1245178,4347489280.0,3.01,1.31,1.99,0.6
2020-07-03,600036,154.47,159.71,159.79,154.28,1535704,5583630592.0,3.58,3.65,5.63,0.74
2020-07-06,600036,161.43,174.06,174.06,161.43,1874929,7369658880.0,7.91,8.99,14.35,0.91
2020-07-07,600036,179.5,176.61,185.36,174.42,2016338,8389893376.0,6.29,1.47,2.55,0.98
2020-07-08,600036,175.98,174.42,179.77,172.34,1827039,7454256128.0,4.21,-1.24,-2.19,0.89
2020-07-09,600036,174.46,172.11,174.89,170.62,1693236,6759559168.0,2.45,-1.32,-2.31,0.82
2020-07-10,600036,172.11,166.4,173.24,165.62,1528159,5784778240.0,4.43,-3.32,-5.71,0.74
2020-07-13,600036,165.46,166.6,169.33,164.13,1634064,6086294016.0,3.13,0.12,0.2,0.79
2020-07-14,600036,165.7,163.51,167.06,162.41,1310866,4821059840.0,2.79,-1.85,-3.09,0.64
2020-07-15,600036,165.38,160.96,165.5,160.34,1341142,4838521600.0,3.16,-1.56,-2.55,0.65
