date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,000002,4950.83,4919.41,5055.56,4912.86,1012130,3342373872.0,2.93,1.02,49.75,1.04
2020-01-03,000002,4939.05,4852.65,4952.14,4817.3,805536,2584309904.0,2.74,-1.36,-66.76,0.83
2020-01-06,000002,4813.37,4781.96,4814.68,4747.92,876841,2761448656.0,1.38,-1.46,-70.69,0.9
2020-01-07,000002,4795.05,4814.68,4836.94,4761.01,577933,1827510864.0,1.59,0.68,32.72,0.59
2020-01-08,000002,4754.46,4804.21,4815.99,4721.74,529997,1667143808.0,1.96,-0.22,-10.47,0.55
2020-01-09,000002,4865.74,4872.28,4908.94,4826.46,783734,2519927712.0,1.72,1.42,68.07,0.81
2020-01-10,000002,4846.1,4775.41,4874.9,4761.01,557444,1762516208.0,2.34,-1.99,-96.87,0.57
2020-01-13,000002,4767.56,4804.21,4817.3,4749.23,620749,1957169616.0,1.43,0.6,28.8,0.64
2020-01-14,000002,4787.19,4766.25,4818.61,4763.63,419712,1322400768.0,1.14,-0.79,-37.96,0.43
2020-01-15,000002,4754.46,4648.43,4779.34,4644.5,672944,2071443632.0,2.83,-2.47,-117.82,0.69
2020-01-16,000002,4665.45,4653.66,4706.03,4636.65,581396,1779302400.0,1.49,0.11,5.23,0.6
2020-01-17,000002,4665.45,4644.5,4695.55,4626.17,472219,1442665856.0,1.49,-0.2,-9.16,0.49
2020-01-20,000002,4649.74,4567.26,4651.05,4521.44,915638,2730988416.0,2.79,-1.66,-77.24,0.94
2020-01-21,000002,4526.68,4480.86,4565.95,4455.99,817969,2399809088.0,2.41,-1.89,-86.4,0.84
2020-01-22,000002,4479.55,4598.68,4628.79,4476.94,937710,2796437184.0,3.39,2.63,117.82,0.97
2020-01-23,000002,4545.01,4450.75,4555.48,4411.48,986949,2884502304.0,3.13,-3.22,-147.93,1.02
2020-02-03,000002,4072.42,4143.12,4259.63,4071.12,1530865,4119846240.0,4.24,-6.91,-307.63,1.58
2020-02-04,000002,4178.46,4272.72,4305.44,4178.46,1036283,2838999600.0,3.06,3.13,129.6,1.07
2020-02-05,000002,4258.32,4275.33,4319.84,4220.35,800686,2213431072.0,2.33,0.06,2.61,0.82
2020-02-06,000002,4289.73,4309.37,4338.17,4246.53,871869,2412853824.0,2.14,0.8,34.04,0.9
2020-02-07,000002,4255.7,4257.01,4270.1,4219.04,713785,1956685392.0,1.18,-1.22,-52.36,0.73
2020-02-10,000002,4224.28,4410.17,4437.66,4207.26,911238,2575641104.0,5.41,3.6,153.16,0.94
2020-02-11,000002,4394.46,4463.84,4522.75,4394.46,685354,2004428736.0,2.91,1.22,53.67,0.71
2020-02-12,000002,4452.06,4463.84,4492.64,4433.74,417587,1213044768.0,1.32,0.0,0.0,0.43
2020-02-13,000002,4516.21,4577.74,4682.46,4513.59,895698,2704306528.0,3.78,2.55,113.9,0.92
2020-02-14,000002,4584.28,4689.01,4689.01,4580.35,1197703,3648835024.0,2.37,2.43,111.27,1.23
2020-02-17,000002,4707.34,4639.26,4708.65,4573.81,1022139,3098649744.0,2.88,-1.06,-49.75,1.05
2020-02-18,000002,4585.59,4545.01,4590.83,4521.44,785952,2334626800.0,1.5,-2.03,-94.25,0.81
2020-02-19,000002,4547.63,4538.46,4597.37,4525.37,608207,1812951824.0,1.58,-0.14,-6.55,0.63
2020-02-20,000002,4520.14,4564.64,4567.26,4490.03,801996,2370776288.0,1.7,0.58,26.18,0.83
2020-02-21,000002,4558.1,4486.1,4558.1,4453.37,1059202,3098548224.0,2.29,-1.72,-78.54,1.09
2020-02-24,000002,4466.46,4440.28,4473.01,4377.44,949996,2730214176.0,2.13,-1.02,-45.82,0.98
2020-02-25,000002,4429.81,4496.57,4538.46,4427.19,1052970,3080948544.0,2.51,1.27,56.29,1.08
2020-02-26,000002,4433.74,4598.68,4709.95,4401.01,1654457,5002513920.0,6.87,2.27,102.11,1.7
2020-02-27,000002,4614.39,4541.08,4618.32,4503.12,922759,2745257984.0,2.51,-1.25,-57.6,0.95
2020-02-28,000002,4486.1,4530.61,4662.83,4476.94,1101300,3303591408.0,4.09,-0.23,-10.47,1.13
2020-03-02,000002,4571.19,4732.21,4797.66,4571.19,1375747,4275882352.0,5.0,4.45,201.6,1.42
2020-03-03,000002,4781.96,4728.28,4797.66,4640.57,942832,2913732848.0,3.32,-0.08,-3.93,0.97
2020-03-04,000002,4751.85,4880.14,4905.01,4681.15,1129796,3595379312.0,4.73,3.21,151.86,1.16
2020-03-05,000002,4817.3,4885.37,4937.74,4793.74,924170,2966840000.0,2.95,0.11,5.23,0.95
2020-03-06,000002,4821.23,4732.21,4844.79,4713.88,679529,2124469840.0,2.68,-3.14,-153.16,0.7
2020-03-09,000002,4662.83,4656.28,4732.21,4585.59,843613,2579914144.0,3.1,-1.6,-75.93,0.87
2020-03-10,000002,4662.83,4689.01,4789.81,4610.46,765994,2358611136.0,3.85,0.7,32.73,0.79
2020-03-11,000002,4692.94,4634.03,4715.19,4631.41,563319,1728508592.0,1.79,-1.17,-54.98,0.58
2020-03-12,000002,4585.59,4577.74,4666.75,4531.92,593494,1776382656.0,2.91,-1.21,-56.29,0.61
2020-03-13,000002,4387.92,4512.28,4558.1,4348.64,732531,2122142608.0,4.58,-1.43,-65.46,0.75
2020-03-16,000002,4513.59,4393.15,4513.59,4360.43,646615,1868241392.0,3.39,-2.64,-119.13,0.67
2020-03-17,000002,4394.46,4336.86,4435.04,4230.82,710786,1994660448.0,4.65,-1.28,-56.29,0.73
2020-03-18,000002,4243.92,4099.92,4275.33,4061.95,1928697,5201139456.0,4.92,-5.46,-236.94,1.99
2020-03-19,000002,4034.46,3959.84,4051.48,3822.39,1510079,3777799184.0,5.59,-3.42,-140.08,1.55
2020-03-20,000002,3995.19,4034.46,4052.79,3937.59,975291,2492385264.0,2.91,1.88,74.62,1.0
2020-03-23,000002,3908.79,3870.82,3940.21,3849.88,703782,1736521152.0,2.24,-4.06,-163.64,0.72
2020-03-24,000002,3940.21,3916.64,3950.68,3845.95,934048,2315905312.0,2.71,1.18,45.82,0.96
