date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600000,102.02,102.02,103.14,101.89,516291,647446160.0,1.23,0.65,0.66,0.18
2020-01-03,600000,102.68,102.88,103.08,102.02,380188,477053360.0,1.04,0.84,0.86,0.14
2020-01-06,600000,102.35,101.96,103.21,101.69,410012,514432544.0,1.48,-0.89,-0.92,0.15
2020-01-07,600000,102.29,102.22,102.88,101.96,284215,355811760.0,0.9,0.26,0.26,0.1
2020-01-08,600000,101.63,101.03,101.89,100.57,352405,434980272.0,1.29,-1.16,-1.19,0.13
2020-01-09,600000,101.49,101.36,101.76,101.23,261514,324168064.0,0.52,0.33,0.33,0.09
2020-01-10,600000,101.36,101.49,101.69,100.97,183213,226580302.0,0.71,0.13,0.13,0.07
2020-01-13,600000,101.56,101.63,101.63,100.97,207156,255982380.0,0.65,0.14,0.14,0.07
2020-01-14,600000,101.56,101.76,103.47,101.49,299946,374971648.0,1.95,0.13,0.13,0.11
2020-01-15,600000,101.63,100.57,101.89,100.57,318972,392531152.0,1.3,-1.17,-1.19,0.11
2020-01-16,600000,100.77,100.24,100.97,99.98,224549,274130144.0,0.98,-0.33,-0.33,0.08
2020-01-17,600000,100.37,100.44,100.83,99.98,175931,215028083.0,0.85,0.2,0.2,0.06
2020-01-20,600000,100.64,100.57,100.7,100.17,237346,290296144.0,0.53,0.13,0.13,0.08
2020-01-21,600000,100.24,99.45,100.57,99.19,317875,384580848.0,1.37,-1.11,-1.12,0.11
2020-01-22,600000,96.94,97.4,97.87,96.61,781336,917203488.0,1.27,-2.06,-2.05,0.28
2020-01-23,600000,97.27,94.63,97.27,94.43,765348,879151040.0,2.92,-2.84,-2.77,0.27
2020-02-03,600000,87.18,88.83,90.28,87.18,953674,997686064.0,3.28,-6.13,-5.8,0.34
2020-02-04,600000,89.09,90.08,90.61,88.89,667838,710434832.0,1.94,1.41,1.25,0.24
2020-02-05,600000,90.28,90.34,90.87,89.55,450467,481639088.0,1.47,0.29,0.26,0.16
2020-02-06,600000,91.07,90.94,91.4,90.01,380238,408101904.0,1.54,0.66,0.6,0.14
2020-02-07,600000,90.54,91.4,91.73,90.15,318970,342581616.0,1.74,0.51,0.46,0.11
2020-02-10,600000,90.74,90.81,91.27,90.41,340321,366391168.0,0.94,-0.65,-0.59,0.12
2020-02-11,600000,91.14,91.4,91.99,90.87,348563,378583344.0,1.23,0.65,0.59,0.12
2020-02-12,600000,91.27,91.4,91.53,90.74,263139,284693712.0,0.86,0.0,0.0,0.09
2020-02-13,600000,91.14,90.74,91.53,90.74,226306,244794981.0,0.86,-0.72,-0.66,0.08
2020-02-14,600000,90.74,91.4,91.53,90.61,223605,242102421.0,1.01,0.73,0.66,0.08
2020-02-17,600000,91.53,93.51,93.71,91.4,413433,457641232.0,2.53,2.31,2.11,0.15
2020-02-18,600000,92.92,92.72,93.51,92.59,301627,334474240.0,0.98,-0.84,-0.79,0.11
2020-02-19,600000,92.85,93.05,93.91,92.59,251002,279375280.0,1.42,0.36,0.33,0.09
2020-02-20,600000,93.45,93.84,94.1,92.72,366564,408938112.0,1.48,0.85,0.79,0.13
2020-02-21,600000,93.84,94.3,94.9,93.71,389494,439706992.0,1.27,0.49,0.46,0.14
2020-02-24,600000,93.84,93.38,94.57,92.98,447386,501186016.0,1.69,-0.98,-0.92,0.16
2020-02-25,600000,92.79,92.92,93.31,92.39,483246,535241824.0,0.99,-0.49,-0.46,0.17
2020-02-26,600000,92.39,93.64,94.5,92.39,519063,581437744.0,2.27,0.77,0.72,0.18
2020-02-27,600000,93.64,93.71,94.3,93.18,330298,370549712.0,1.2,0.07,0.07,0.12
2020-02-28,600000,93.05,91.33,93.51,91.33,501380,550529616.0,2.33,-2.54,-2.38,0.18
2020-03-02,600000,91.99,92.59,92.98,91.8,392451,432698832.0,1.29,1.38,1.26,0.14
2020-03-03,600000,93.18,92.72,93.84,92.59,393325,437422560.0,1.35,0.14,0.13,0.14
2020-03-04,600000,92.39,92.52,92.98,91.99,346284,381014624.0,1.07,-0.22,-0.2,0.12
2020-03-05,600000,92.85,94.43,94.43,92.52,730479,819311472.0,2.06,2.06,1.91,0.26
2020-03-06,600000,93.84,93.12,94.17,93.05,415878,464404000.0,1.19,-1.39,-1.31,0.15
2020-03-09,600000,92.32,90.87,92.32,90.67,594952,644379968.0,1.77,-2.42,-2.25,0.21
2020-03-10,600000,90.41,91.47,92.06,90.34,447617,485896704.0,1.89,0.66,0.6,0.16
2020-03-11,600000,91.86,90.81,91.86,90.81,316888,343734176.0,1.15,-0.72,-0.66,0.11
2020-03-12,600000,90.67,89.95,90.67,89.75,326324,348157968.0,1.01,-0.95,-0.86,0.12
2020-03-13,600000,88.37,90.34,90.54,87.57,574571,603756304.0,3.3,0.43,0.39,0.2
2020-03-16,600000,90.34,89.09,90.87,89.02,476499,507308320.0,2.05,-1.38,-1.25,0.17
2020-03-17,600000,90.21,88.56,90.28,87.64,421390,440636624.0,2.96,-0.59,-0.53,0.15
2020-03-18,600000,88.37,87.11,89.02,87.05,331766,343553120.0,2.22,-1.64,-1.45,0.12
2020-03-19,600000,86.98,85.33,87.97,84.8,557071,558047008.0,3.64,-2.04,-1.78,0.2
2020-03-20,600000,86.52,86.32,86.91,85.46,426094,428744768.0,1.7,1.16,0.99,0.15
2020-03-23,600000,85.4,84.67,85.4,84.54,282860,279043936.0,1.0,-1.91,-1.65,0.1
2020-03-24,600000,85.92,86.12,86.58,85.59,289908,291586384.0,1.17,1.71,1.45,0.1
2020-03-25,600000,87.05,86.72,87.51,86.52,321723,327768576.0,1.15,0.7,0.6,0.11
2020-03-26,600000,86.39,87.24,88.17,86.25,309218,315960384.0,2.21,0.6,0.52,0.11
2020-03-27,600000,88.04,87.31,88.23,87.05,271080,278718752.0,1.35,0.08,0.07,0.1
2020-03-30,600000,86.91,87.57,87.57,86.45,260460,265782024.0,1.28,0.3,0.26,0.09
2020-03-31,600000,87.71,86.72,88.1,86.58,261449,267681227.0,1.74,-0.97,-0.85,0.09
