date,open,high,low,close,volume
2020-03-06,2182.98,2228.02,2151.71,2152.8,291658
2020-03-09,2120.43,2124.34,2089.78,2093.85,244542
2020-03-10,2093.85,2177.2,2092.28,2162.97,310772
2020-03-11,2190.8,2195.5,2143.89,2150.14,187635
2020-03-12,2102.92,2122.15,2086.97,2089.78,252660
2020-03-13,1995.32,2076.96,1977.81,2035.98,350887
2020-03-16,2017.22,2032.86,1907.91,1924.95,370242
2020-03-17,1909.31,1957.48,1816.74,1875.85,352980
2020-03-18,1888.98,1932.3,1787.18,1801.25,404423
2020-03-19,1773.26,1792.03,1661.13,1715.56,601698
2020-03-20,1750.12,1833.62,1748.4,1815.64,422064
2020-03-23,1745.11,1784.21,1730.1,1753.09,328265
2020-03-24,1793.28,1837.22,1777.01,1824.09,356363
2020-03-25,1887.42,1916.51,1867.72,1901.5,309473
2020-03-26,1885.54,1937.46,1868.65,1899.77,208801
2020-03-27,1926.52,1960.92,1926.52,1929.8,235435
2020-03-30,1883.04,1901.81,1865.53,1889.45,205806
2020-03-31,1917.13,1942.0,1902.43,1920.26,188496
2020-04-01,1932.77,1948.25,1908.38,1917.13,175969
2020-04-02,1901.5,1951.38,1893.99,1951.38,191537
2020-04-03,1959.36,1987.04,1945.28,1956.54,175806
2020-04-07,2004.71,2066.95,2004.71,2060.07,294512
2020-04-08,2060.07,2089.0,2048.96,2077.9,201134
2020-04-09,2099.32,2114.18,2042.4,2073.2,158796
2020-04-10,2073.2,2132.94,2061.01,2097.29,198961
2020-04-13,2075.86,2105.11,2061.01,2073.52,146060
2020-04-14,2098.69,2134.19,2076.64,2127.47,194619
2020-04-15,2127.78,2156.09,2108.08,2119.02,162967
2020-04-16,2104.95,2117.3,2081.65,2090.72,188254
2020-04-17,2107.45,2147.02,2100.73,2133.25,234711
2020-04-20,2150.46,2159.21,2134.19,2140.92,132188
2020-04-21,2121.68,2135.29,2074.77,2096.5,205524
2020-04-22,2097.6,2167.19,2080.08,2156.4,265985
2020-04-23,2170.47,2218.95,2164.22,2168.75,213319
2020-04-24,2171.1,2203.16,2141.86,2173.6,167733
