date,open,high,low,close,volume
2020-01-02,2161.8,2199.3,2149.29,2189.3,1530232
2020-01-03,2198.05,2244.31,2195.55,2228.06,1116195
2020-01-06,2206.8,2248.06,2194.3,2214.31,862084
2020-01-07,2221.81,2240.56,2199.3,2224.31,728608
2020-01-08,2205.55,2211.8,2159.3,2163.05,847824
2020-01-09,2181.8,2196.8,2146.79,2179.3,1031637
2020-01-10,2179.3,2181.8,2145.54,2166.8,585548
2020-01-13,2174.3,2209.3,2156.8,2204.3,872133
2020-01-14,2204.3,2239.31,2175.55,2175.55,1304494
2020-01-15,2179.3,2188.05,2136.79,2145.54,859439
2020-01-16,2145.54,2151.79,2105.54,2121.79,1028105
2020-01-17,2128.04,2149.29,2124.29,2129.29,605437
2020-01-20,2134.29,2156.8,2124.29,2136.79,746075
2020-01-21,2123.04,2123.04,2071.78,2080.53,896603
2020-01-22,2070.53,2100.54,2044.28,2091.78,719465
2020-01-23,2070.53,2070.53,2004.27,2023.02,1100592
2020-02-03,1829.24,1918.01,1829.24,1829.24,2259195
2020-02-04,1836.74,1913.0,1832.99,1905.5,1706172
2020-02-05,1904.25,1941.76,1870.5,1909.25,1491380
2020-02-06,1931.76,1939.26,1894.25,1926.76,1185816
2020-02-07,1905.5,1916.75,1881.75,1908.0,924853
2020-02-10,1894.25,1896.75,1868.0,1893.0,1339495
2020-02-11,1905.5,1948.01,1900.5,1929.26,1407507
2020-02-12,1929.26,1933.01,1905.5,1926.76,1070503
2020-02-13,1919.26,1940.51,1906.75,1911.75,1013205
2020-02-14,1924.26,1973.01,1918.01,1959.26,1512435
2020-02-17,1960.51,2001.77,1946.76,2001.77,1543696
2020-02-18,1996.77,1996.77,1956.76,1980.52,973612
2020-02-19,1968.01,2001.77,1965.51,1985.52,874107
2020-02-20,1989.27,2033.02,1968.01,2029.27,1235444
2020-02-21,2016.77,2045.53,2011.77,2028.02,995071
2020-02-24,2013.02,2013.02,1974.26,1984.27,1191795
2020-02-25,1955.51,1971.76,1928.01,1960.51,1144575
2020-02-26,1926.76,1989.27,1918.01,1954.26,1176599
2020-02-27,1950.51,1974.26,1941.76,1969.26,975271
2020-02-28,1936.76,1960.51,1888.0,1893.0,1300644
2020-03-02,1899.25,1949.26,1888.0,1929.26,1116581
2020-03-03,1950.51,1954.26,1909.25,1920.51,1153584
2020-03-04,1915.5,1928.01,1894.25,1916.75,862595
2020-03-05,1930.51,2035.52,1921.76,2004.27,2686602
2020-03-06,1978.02,1989.27,1958.01,1959.26,1228531
2020-03-09,1919.26,1921.76,1883.0,1886.75,1665794
2020-03-10,1878.0,1936.76,1878.0,1925.51,1167865
2020-03-11,1926.76,1940.51,1908.0,1916.75,814382
2020-03-12,1911.75,1935.51,1896.75,1915.5,986497
2020-03-13,1817.99,1903.0,1817.99,1895.5,1169766
2020-03-16,1886.75,1888.0,1799.23,1799.23,1406202
2020-03-17,1799.23,1826.74,1721.72,1756.73,1177849
2020-03-18,1756.73,1774.23,1661.71,1669.21,1384784
2020-03-19,1665.46,1672.96,1569.2,1609.2,1891457
2020-03-20,1630.46,1665.46,1612.95,1645.46,1578353
2020-03-23,1580.45,1624.21,1571.7,1599.2,1071114
2020-03-24,1630.46,1665.46,1614.2,1656.71,1180200
2020-03-25,1690.47,1714.22,1667.96,1689.22,1136958
2020-03-26,1677.96,1747.98,1670.46,1712.97,1075192
2020-03-27,1736.72,1752.98,1715.47,1724.22,653019
2020-03-30,1686.72,1710.47,1675.46,1697.97,661739
2020-03-31,1711.72,1716.72,1677.96,1680.46,513370
2020-04-01,1687.97,1721.72,1682.97,1691.72,520836
2020-04-02,1674.21,1701.72,1662.96,1701.72,518365
2020-04-03,1682.97,1691.72,1649.21,1656.71,825348
2020-04-07,1691.72,1697.97,1681.72,1690.47,870314
2020-04-08,1690.47,1695.47,1670.46,1677.96,528716
2020-04-09,1690.47,1691.72,1670.46,1672.96,408554
2020-04-10,1675.46,1702.97,1661.71,1679.21,666675
2020-04-13,1664.21,1669.21,1639.21,1654.21,446214
2020-04-14,1661.71,1687.97,1651.71,1687.97,686087
2020-04-15,1687.97,1696.72,1677.96,1689.22,656396
2020-04-16,1679.21,1679.21,1647.96,1665.46,789155
2020-04-17,1676.71,1710.47,1661.71,1691.72,1331165
2020-04-20,1687.97,1711.72,1676.71,1704.22,818456
2020-04-21,1742.98,1792.98,1742.98,1761.73,2122448
2020-04-22,1751.73,1757.98,1725.47,1734.22,1032803
2020-04-23,1734.22,1744.23,1719.22,1734.22,646990
2020-04-24,1726.72,1740.47,1719.22,1735.47,566002
2020-04-27,1742.98,1785.48,1736.72,1767.98,936830
2020-04-28,1761.73,1775.48,1739.22,1770.48,771564
2020-04-29,1765.48,1842.99,1761.73,1832.99,1108722
2020-04-30,1832.99,1870.5,1815.49,1821.74,819540
2020-05-06,1800.49,1816.74,1781.73,1801.74,1008998
2020-05-07,1800.49,1800.49,1780.48,1791.73,662749
2020-05-08,1800.49,1832.99,1790.48,1824.24,934782
2020-05-11,1820.49,1846.74,1817.99,1830.49,612862
2020-05-12,1824.24,1836.74,1795.48,1804.24,558511
2020-05-13,1799.23,1802.99,1771.73,1784.23,640359
2020-05-14,1774.23,1779.23,1732.97,1742.98,944672
2020-05-15,1754.23,1759.23,1722.97,1734.22,756794
2020-05-18,1730.47,1747.98,1720.47,1730.47,637209
2020-05-19,1756.73,1761.73,1739.22,1750.48,600369
2020-05-20,1752.98,1782.98,1739.22,1769.23,690851
2020-05-21,1770.48,1776.73,1750.48,1755.48,552312
2020-05-22,1746.73,1747.98,1695.47,1695.47,856237
2020-05-25,1701.72,1702.97,1675.46,1700.47,410171
2020-05-26,1707.97,1714.22,1697.97,1710.47,396212
2020-05-27,1711.72,1729.22,1700.47,1705.47,482963
2020-05-28,1716.47,1755.23,1708.97,1741.48,960760
2020-05-29,1733.97,1737.72,1722.72,1732.72,457808
2020-06-01,1745.23,1781.48,1742.73,1772.73,882961
2020-06-02,1768.98,1811.49,1767.73,1801.49,883459
2020-06-03,1812.74,1842.74,1795.23,1800.24,956803
2020-06-04,1798.98,1812.74,1783.98,1803.99,583066
2020-06-05,1807.74,1810.24,1786.48,1806.49,383027
2020-06-08,1817.74,1838.99,1805.24,1810.24,585972
2020-06-09,1812.74,1823.99,1798.98,1816.49,474300
2020-06-10,1821.49,1821.49,1782.73,1793.98,580476
2020-06-11,1780.23,1781.48,1732.72,1742.73,1349040
2020-06-12,1720.22,1735.22,1716.47,1731.47,1030551
2020-06-15,1713.97,1728.97,1707.72,1710.22,660313
2020-06-16,1720.22,1731.47,1715.22,1718.97,718059
2020-06-17,1718.97,1722.72,1702.72,1713.97,716468
2020-06-18,1702.72,1707.72,1681.46,1702.72,1119648
2020-06-19,1698.97,1712.72,1683.97,1707.72,1539522
2020-06-22,1700.22,1702.72,1685.22,1687.72,1319080
2020-06-23,1688.97,1693.97,1672.71,1682.72,990807
2020-06-24,1687.72,1717.72,1682.72,1707.72,1523220
2020-06-29,1722.72,1728.97,1696.47,1707.72,1038480
2020-06-30,1711.47,1717.72,1697.72,1707.72,937940
2020-07-01,1706.47,1751.48,1700.22,1747.73,1697390
2020-07-02,1742.73,1793.98,1728.97,1786.48,2590501
2020-07-03,1803.99,1897.75,1802.74,1889.0,3768334
2020-07-06,1932.76,2067.78,1931.51,2067.78,4711461
2020-07-07,2145.29,2186.55,1986.52,2042.78,3964428
2020-07-08,2011.52,2107.79,2011.52,2077.78,2631339
2020-07-09,2065.28,2065.28,2021.52,2049.03,2243994
2020-07-10,2026.52,2042.78,1952.76,1965.26,2158773
2020-07-13,1945.26,1992.77,1920.26,1969.01,1937160
2020-07-14,1970.26,2006.52,1926.51,1942.76,1953566
2020-07-15,1955.26,1965.26,1886.5,1891.5,2042563
2020-07-16,1895.25,1926.51,1872.75,1876.5,1930891
2020-07-17,1879.0,1892.75,1851.49,1875.25,1291347
2020-07-20,1886.5,1954.01,1870.25,1949.01,1979632
2020-07-21,1942.76,1942.76,1907.75,1919.01,1252866
2020-07-22,1919.01,1939.01,1891.5,1909.0,1312952
2020-07-23,1887.75,1894.0,1833.99,1859.0,2027526
2020-07-24,1853.99,1856.49,1785.23,1795.23,1830882
2020-07-27,1816.49,1817.74,1745.23,1762.73,1880653
2020-07-28,1775.23,1786.48,1755.23,1775.23,1217006
2020-07-29,1776.48,1811.49,1758.98,1800.24,1519580
2020-07-30,1795.23,1796.48,1778.98,1778.98,964068
2020-07-31,1767.73,1798.98,1763.98,1775.23,1165822
2020-08-03,1791.48,1810.24,1786.48,1806.49,1445096
2020-08-04,1815.24,1876.5,1792.73,1862.75,2445663
2020-08-05,1835.24,1838.99,1810.24,1827.74,1440203
2020-08-06,1835.24,1852.74,1813.99,1845.24,1352511
2020-08-07,1832.74,1845.24,1810.24,1820.24,988678
2020-08-10,1816.49,1860.25,1810.24,1851.49,1587710
2020-08-11,1853.99,1940.26,1853.99,1874.0,2603308
2020-08-12,1884.0,1920.26,1876.5,1905.25,1596812
2020-08-13,1907.75,1915.25,1875.25,1880.25,837262
2020-08-14,1870.25,1921.51,1865.25,1916.5,1103216
2020-08-17,1932.76,2026.52,1926.51,2006.52,3268028
2020-08-18,2007.77,2020.27,1971.51,2001.52,1350261
2020-08-19,1996.52,2026.52,1977.77,1995.27,1420928
