date,open,high,low,close,volume
2020-01-02,102.02,103.14,101.89,102.02,516291
2020-01-03,102.68,103.08,102.02,102.88,380188
2020-01-06,102.35,103.21,101.69,101.96,410012
2020-01-07,102.29,102.88,101.96,102.22,284215
2020-01-08,101.63,101.89,100.57,101.03,352405
2020-01-09,101.49,101.76,101.23,101.36,261514
2020-01-10,101.36,101.69,100.97,101.49,183213
2020-01-13,101.56,101.63,100.97,101.63,207156
2020-01-14,101.56,103.47,101.49,101.76,299946
2020-01-15,101.63,101.89,100.57,100.57,318972
2020-01-16,100.77,100.97,99.98,100.24,224549
2020-01-17,100.37,100.83,99.98,100.44,175931
2020-01-20,100.64,100.7,100.17,100.57,237346
2020-01-21,100.24,100.57,99.19,99.45,317875
2020-01-22,96.94,97.87,96.61,97.4,781336
2020-01-23,97.27,97.27,94.43,94.63,765348
2020-02-03,87.18,90.28,87.18,88.83,953674
2020-02-04,89.09,90.61,88.89,90.08,667838
2020-02-05,90.28,90.87,89.55,90.34,450467
2020-02-06,91.07,91.4,90.01,90.94,380238
2020-02-07,90.54,91.73,90.15,91.4,318970
2020-02-10,90.74,91.27,90.41,90.81,340321
2020-02-11,91.14,91.99,90.87,91.4,348563
2020-02-12,91.27,91.53,90.74,91.4,263139
2020-02-13,91.14,91.53,90.74,90.74,226306
2020-02-14,90.74,91.53,90.61,91.4,223605
2020-02-17,91.53,93.71,91.4,93.51,413433
2020-02-18,92.92,93.51,92.59,92.72,301627
2020-02-19,92.85,93.91,92.59,93.05,251002
2020-02-20,93.45,94.1,92.72,93.84,366564
2020-02-21,93.84,94.9,93.71,94.3,389494
2020-02-24,93.84,94.57,92.98,93.38,447386
2020-02-25,92.79,93.31,92.39,92.92,483246
2020-02-26,92.39,94.5,92.39,93.64,519063
2020-02-27,93.64,94.3,93.18,93.71,330298
2020-02-28,93.05,93.51,91.33,91.33,501380
2020-03-02,91.99,92.98,91.8,92.59,392451
2020-03-03,93.18,93.84,92.59,92.72,393325
2020-03-04,92.39,92.98,91.99,92.52,346284
2020-03-05,92.85,94.43,92.52,94.43,730479
2020-03-06,93.84,94.17,93.05,93.12,415878
2020-03-09,92.32,92.32,90.67,90.87,594952
2020-03-10,90.41,92.06,90.34,91.47,447617
2020-03-11,91.86,91.86,90.81,90.81,316888
2020-03-12,90.67,90.67,89.75,89.95,326324
2020-03-13,88.37,90.54,87.57,90.34,574571
2020-03-16,90.34,90.87,89.02,89.09,476499
2020-03-17,90.21,90.28,87.64,88.56,421390
2020-03-18,88.37,89.02,87.05,87.11,331766
2020-03-19,86.98,87.97,84.8,85.33,557071
2020-03-20,86.52,86.91,85.46,86.32,426094
2020-03-23,85.4,85.4,84.54,84.67,282860
2020-03-24,85.92,86.58,85.59,86.12,289908
2020-03-25,87.05,87.51,86.52,86.72,321723
2020-03-26,86.39,88.17,86.25,87.24,309218
2020-03-27,88.04,88.23,87.05,87.31,271080
2020-03-30,86.91,87.57,86.45,87.57,260460
2020-03-31,87.71,88.1,86.58,86.72,261449
2020-04-01,86.45,87.44,86.32,86.32,224792
2020-04-02,86.32,87.05,86.19,87.05,170421
2020-04-03,86.58,87.11,86.52,86.72,148424
2020-04-07,87.71,87.9,87.24,87.57,238256
2020-04-08,87.38,87.64,86.91,87.31,179523
2020-04-09,87.44,87.64,86.91,87.05,135696
2020-04-10,87.18,87.31,86.72,87.11,166255
2020-04-13,86.72,87.18,86.39,86.45,119670
2020-04-14,86.85,87.38,86.52,87.38,177929
2020-04-15,87.05,87.51,86.72,86.91,149456
2020-04-16,86.39,86.91,86.39,86.78,144032
2020-04-17,86.91,87.24,86.72,87.05,227444
2020-04-20,86.72,86.98,86.32,86.45,235037
2020-04-21,86.19,86.52,85.79,85.92,175575
2020-04-22,85.86,86.19,85.59,86.19,158024
2020-04-23,86.39,86.39,85.79,86.12,168786
2020-04-24,86.12,86.32,85.79,86.12,169731
2020-04-27,86.72,88.5,86.72,87.97,503428
2020-04-28,88.1,88.23,87.18,87.9,292226
2020-04-29,88.04,89.75,87.9,89.75,350568
2020-04-30,89.55,90.94,89.42,89.88,309070
2020-05-06,88.63,88.96,88.1,88.76,413784
2020-05-07,88.69,88.76,88.17,88.3,262117
2020-05-08,88.63,88.96,88.37,88.63,209277
2020-05-11,88.63,89.29,88.5,88.56,214725
2020-05-12,88.63,88.89,87.97,87.97,194059
2020-05-13,87.77,88.3,87.57,88.23,155743
2020-05-14,87.84,88.1,87.51,87.71,158924
2020-05-15,88.1,88.23,87.44,87.57,137538
2020-05-18,87.57,88.56,87.38,87.84,156759
2020-05-19,88.69,88.69,87.97,88.04,125770
2020-05-20,88.17,88.5,87.9,88.43,200463
2020-05-21,88.63,88.63,87.9,87.9,143617
2020-05-22,87.71,87.97,86.65,86.65,237229
2020-05-25,87.71,87.77,86.58,87.51,157220
2020-05-26,87.84,87.84,87.38,87.51,143722
2020-05-27,87.57,88.23,87.38,88.04,201457
2020-05-28,88.1,89.35,88.1,89.22,382632
2020-05-29,88.69,89.49,88.69,89.49,306592
2020-06-01,89.88,90.48,89.49,90.01,286128
2020-06-02,89.55,90.61,89.55,90.21,259225
2020-06-03,90.67,91.47,90.34,90.34,273522
2020-06-04,91.0,91.0,89.95,89.95,175590
2020-06-05,90.21,90.28,89.42,90.15,209583
2020-06-08,89.95,90.48,89.68,89.75,182512
2020-06-09,89.82,90.48,89.55,90.21,172632
2020-06-10,90.41,90.41,89.55,89.55,166935
2020-06-11,89.55,89.75,88.69,88.89,251715
2020-06-12,89.55,89.55,88.56,89.35,255145
2020-06-15,88.43,88.96,88.04,88.04,254979
2020-06-16,88.63,89.02,88.37,88.69,176827
2020-06-17,88.63,89.09,88.56,88.83,161486
2020-06-18,88.5,89.49,88.3,89.02,208566
2020-06-19,89.42,90.21,89.02,89.75,398145
2020-06-22,89.49,90.08,89.22,89.35,246119
2020-06-23,89.09,89.49,88.83,88.89,196022
2020-06-24,89.29,89.75,89.02,89.68,228739
2020-06-29,89.88,90.54,88.96,89.49,278756
2020-06-30,89.62,89.95,89.29,89.55,228868
2020-07-01,89.62,90.74,89.35,90.61,366907
2020-07-02,90.54,92.65,90.34,92.65,609513
2020-07-03,92.85,94.04,92.46,93.58,822385
2020-07-06,94.3,100.97,94.24,100.24,1495580
2020-07-07,101.89,103.47,99.58,99.65,1314698
2020-07-08,100.04,101.82,99.12,99.84,1048792
2020-07-09,100.64,100.64,98.53,98.86,913117
2020-07-10,98.79,99.51,95.95,96.28,786119
2020-07-13,96.28,97.93,96.02,96.68,965643
2020-07-14,96.35,96.88,94.5,94.83,799443
2020-07-15,95.42,95.42,93.25,93.51,924383
2020-07-16,93.97,95.49,93.64,93.64,966142
2020-07-17,94.76,94.9,93.45,94.1,686395
2020-07-20,94.43,96.08,94.1,95.75,787665
2020-07-21,96.22,96.35,94.96,95.89,550046
2020-07-22,95.95,97.27,95.62,96.41,986876
2020-07-23,96.22,96.22,93.71,95.23,868069
2020-07-24,94.83,94.96,92.32,92.46,728864
2020-07-27,93.31,93.31,91.8,92.13,446559
2020-07-28,92.72,93.25,91.99,92.26,325993
2020-07-29,91.99,93.25,91.8,93.05,452566
2020-07-30,93.05,93.18,92.32,92.32,404435
2020-07-31,92.39,93.12,91.73,92.06,653684
2020-08-03,92.32,92.85,92.13,92.39,562720
2020-08-04,92.72,94.43,92.52,94.04,885225
2020-08-05,93.91,93.91,92.65,93.05,460113
2020-08-06,93.45,93.84,92.39,93.18,424842
2020-08-07,93.05,93.18,92.06,92.52,442720
2020-08-10,92.46,93.45,92.26,93.12,489740
2020-08-11,93.51,94.17,92.65,92.79,636732
2020-08-12,92.92,93.64,92.72,93.38,432686
2020-08-13,93.64,93.71,92.98,93.05,257985
2020-08-14,93.18,93.64,92.85,93.58,375845
2020-08-17,93.58,96.15,93.45,95.23,987427
2020-08-18,95.29,95.29,93.84,94.24,540920
2020-08-19,94.24,94.57,93.45,93.51,434481
2020-08-20,93.38,93.45,92.52,92.79,535390
2020-08-21,93.38,93.38,92.65,92.98,314515
2020-08-24,93.45,93.45,92.59,92.72,389828
2020-08-25,92.85,93.05,92.39,92.65,378973
2020-08-26,92.59,92.65,91.99,92.13,392787
2020-08-27,92.19,92.32,91.8,91.99,304625
2020-08-28,91.99,92.72,91.73,92.72,531312
2020-08-31,92.72,93.05,91.8,92.06,800374
2020-09-01,91.73,92.06,91.4,91.6,539312
2020-09-02,91.53,91.6,90.48,90.87,567871
2020-09-03,90.94,91.2,90.41,90.48,408320
2020-09-04,90.15,90.67,89.75,90.15,384440
2020-09-07,90.15,90.74,89.75,89.75,585646
2020-09-08,90.15,90.28,89.75,90.01,529725
2020-09-09,89.75,90.21,89.68,89.75,494185
2020-09-10,90.08,90.08,89.29,89.42,541699
2020-09-11,89.35,89.42,88.69,89.16,499476
2020-09-14,89.35,89.35,88.76,89.02,388512
2020-09-15,89.09,89.16,88.69,88.76,466015
2020-09-16,88.83,89.02,88.37,88.76,514707
2020-09-17,88.83,88.96,88.37,88.56,431717
2020-09-18,88.63,89.29,88.37,89.29,952306
2020-09-21,89.29,89.49,88.56,88.63,559987
2020-09-22,88.43,88.63,87.64,87.71,659521
2020-09-23,87.77,87.84,87.18,87.24,419096
2020-09-24,87.11,87.18,86.12,86.39,538587
2020-09-25,86.39,86.58,86.12,86.19,294875
2020-09-28,86.32,86.58,86.12,86.12,262578
2020-09-29,86.39,86.52,85.92,85.92,329883
2020-09-30,86.06,86.32,85.4,85.66,390068
2020-10-09,85.99,86.25,85.73,85.86,397727
2020-10-12,86.06,87.24,85.86,86.98,666716
2020-10-13,86.91,86.98,86.52,86.65,280591
2020-10-14,86.65,86.78,86.39,86.58,429692
2020-10-15,86.65,87.84,86.58,87.18,661467
2020-10-16,87.11,88.17,87.05,87.84,748502
2020-10-19,87.9,89.22,87.31,87.38,845324
2020-10-20,87.24,87.38,86.45,86.91,466870
2020-10-21,86.91,87.71,86.45,87.71,616221
2020-10-22,87.51,88.1,86.98,87.38,472889
2020-10-23,87.24,88.3,87.18,87.71,709545
2020-10-26,87.84,88.04,86.98,87.05,527114
2020-10-27,86.98,86.98,86.25,86.25,380628
2020-10-28,86.25,86.52,85.59,85.73,458814
2020-10-29,85.4,86.06,85.33,85.53,437073
2020-10-30,85.59,86.06,84.74,84.8,560609
2020-11-02,84.93,85.26,84.54,84.74,465423
2020-11-03,85.13,85.73,84.93,85.07,678761
2020-11-04,85.4,85.73,84.93,85.33,502561
2020-11-05,86.12,86.12,85.26,85.46,558732
2020-11-06,85.53,85.92,85.26,85.66,639196
2020-11-09,85.86,86.25,85.66,85.92,889377
2020-11-10,86.19,86.98,85.99,86.12,842179
2020-11-11,86.32,86.91,85.99,86.78,641718
2020-11-12,86.52,86.58,85.92,85.92,518911
2020-11-13,85.79,85.79,85.26,85.46,449101
